index,text,url,type
0,PyData - https://www.youtube.com/user/PyDataTV/videos,https://www.youtube.com/user/PyDataTV/videos,user
1,PyData Montreal - https://youtube.com/channel/UC2d_azMgPLw_8JzgbpNb2oQ,https://youtube.com/channel/UC2d_azMgPLw_8JzgbpNb2oQ,channel
2,PyData MCR - https://www.youtube.com/channel/UCTCV2vonJgaQVb8AdMgdvCA/videos ,https://www.youtube.com/channel/UCTCV2vonJgaQVb8AdMgdvCA/videos,channel
3,PyData DC (MetroStar systems)- https://youtube.com/user/metrostarsystems,https://youtube.com/user/metrostarsystems,user
4,PyData Pune - https://www.youtube.com/channel/UCEnagt088yX-ruTalg-GJeQ/videos ,https://www.youtube.com/channel/UCEnagt088yX-ruTalg-GJeQ/videos,channel
5,Cory Schafer - https://www.youtube.com/c/Coreyms/videos,https://www.youtube.com/c/Coreyms/videos,custom
6,Talk Python to me - https://www.youtube.com/channel/UCKPSmMfDsXTKrCZApukcJ7A/videos,https://www.youtube.com/channel/UCKPSmMfDsXTKrCZApukcJ7A/videos,channel
7,Pycon Sweden - https://www.youtube.com/channel/UCH_2cuWzFMyCPvm75lJJ6wg/videos,https://www.youtube.com/channel/UCH_2cuWzFMyCPvm75lJJ6wg/videos,channel
8,Cheukting Ho - https://www.youtube.com/channel/UCie_J9IohYO4hSsz4O2mDfQ/videos,https://www.youtube.com/channel/UCie_J9IohYO4hSsz4O2mDfQ/videos,channel
9,Python Engineer - https://www.youtube.com/c/PythonEngineer/videos,https://www.youtube.com/c/PythonEngineer/videos,custom
10,Python Programmer - https://www.youtube.com/c/FlickThrough/videos,https://www.youtube.com/c/FlickThrough/videos,custom
11,Python Talks - https://www.youtube.com/channel/UCKPSmMfDsXTKrCZApukcJ7A/videos,https://www.youtube.com/channel/UCKPSmMfDsXTKrCZApukcJ7A/videos,channel
12,Python basics - https://www.youtube.com/c/PythonBasics/videos,https://www.youtube.com/c/PythonBasics/videos,custom
13,EuroPython - https://www.youtube.com/user/PythonItalia/playlists,https://www.youtube.com/user/PythonItalia/playlists,user
14,Europython conference - https://www.youtube.com/channel/UC98CzaYuFNAA_gOINFB0e4Q,https://www.youtube.com/channel/UC98CzaYuFNAA_gOINFB0e4Q,channel
15,Scipy 2020 - https://www.youtube.com/user/EnthoughtMedia/playlists,https://www.youtube.com/user/EnthoughtMedia/playlists,user
16,PyCon 2015- https://www.youtube.com/c/pycon2015 ,https://www.youtube.com/c/pycon2015,custom
17,PyCon 2016 - https://www.youtube.com/c/pycon2016 ,https://www.youtube.com/c/pycon2016,custom
18,PyCon 2017 - https://www.youtube.com/c/pycon2017/videos,https://www.youtube.com/c/pycon2017/videos,custom
19,pyCon 2018 - https://www.youtube.com/channel/UCsX05-2sVSH7Nx3zuk3NYuQ,https://www.youtube.com/channel/UCsX05-2sVSH7Nx3zuk3NYuQ,channel
20,PyCon 2019 - https://www.youtube.com/c/PyCon2019 ,https://www.youtube.com/c/PyCon2019,custom
21,PyCon 2020 - https://www.youtube.com/c/PyCon2020/videos,https://www.youtube.com/c/PyCon2020/videos,custom
22,PyCon UK - hhttps://www.youtube.com/channel/UChA9XP_feY1-1oSy2L7acog/videos,https://www.youtube.com/channel/UChA9XP_feY1-1oSy2L7acog/videos,channel
23,PyOhio - https://www.youtube.com/c/PyOhio/videos,https://www.youtube.com/c/PyOhio/videos,custom
24,PyConAU - https://www.youtube.com/c/PyConAU/playlists,https://www.youtube.com/c/PyConAU/playlists,custom
25,PyLondinium - https://www.youtube.com/channel/UCHh7vOesookNhYvupCCcJxA/videos,https://www.youtube.com/channel/UCHh7vOesookNhYvupCCcJxA/videos,channel
26,PyBay/SFPython - https://www.youtube.com/channel/UC51aOZF5nnderbuar5D5ifw/videos,https://www.youtube.com/channel/UC51aOZF5nnderbuar5D5ifw/videos,channel
27,Python Barcelona - https://www.youtube.com/channel/UCEhI2CfdT5--TYq47K4en4A,https://www.youtube.com/channel/UCEhI2CfdT5--TYq47K4en4A,channel
28,PyConDE - https://youtube.com/c/PyConDE,https://youtube.com/c/PyConDE,custom
29,Sebastian Mathot - https://www.youtube.com/channel/UC6HfeAa0vWeSWS6IcNAjZ2A,https://www.youtube.com/channel/UC6HfeAa0vWeSWS6IcNAjZ2A,channel
30,PyCascades - https://youtube.com/c/PyCascades,https://youtube.com/c/PyCascades,custom
31,Real Python - https://youtube.com/c/realpython,https://youtube.com/c/realpython,custom
32,Julia Language - https://youtube.com/c/TheJuliaLanguage,https://youtube.com/c/TheJuliaLanguage,custom
33,Remi Vezy - https://www.youtube.com/channel/UCxArXLI-gxlTmWGGgec5D7w/videos,https://www.youtube.com/channel/UCxArXLI-gxlTmWGGgec5D7w/videos,channel
34,Alfredo Canziani - NYU - https://www.youtube.com/channel/UCupQLyNchb9-2Z5lmUOIijw/videos,https://www.youtube.com/channel/UCupQLyNchb9-2Z5lmUOIijw/videos,channel
38,Amazon MLU - https://www.youtube.com/channel/UC12LqyqTQYbXatYS9AA7Nuw/playlists,https://www.youtube.com/channel/UC12LqyqTQYbXatYS9AA7Nuw/playlists,channel
42,Crash Course (maths/stats/AI) - https://www.youtube.com/user/crashcourse/playlists ,https://www.youtube.com/user/crashcourse/playlists,user
43,Deepmind - https://www.youtube.com/channel/UCP7jMXSY2xbc3KCAE0MHQ-A/videos,https://www.youtube.com/channel/UCP7jMXSY2xbc3KCAE0MHQ-A/videos,channel
45,AI Core - https://www.youtube.com/channel/UCbPDqVPqfu_VyNiy7v1YSgg/videos,https://www.youtube.com/channel/UCbPDqVPqfu_VyNiy7v1YSgg/videos,channel
46,AICamp - https://www.youtube.com/channel/UCj09XsAWj-RF9kY4UvBJh_A/videos,https://www.youtube.com/channel/UCj09XsAWj-RF9kY4UvBJh_A/videos,channel
47,CellStrat - https://www.youtube.com/channel/UCqrJHjXEHEOhK5333IX0ElA/videos,https://www.youtube.com/channel/UCqrJHjXEHEOhK5333IX0ElA/videos,channel
48,NLPXing 幸 - https://www.youtube.com/channel/UCuGC1JusVvbOGa__qMtH3QA/videos,https://www.youtube.com/channel/UCuGC1JusVvbOGa__qMtH3QA/videos,channel
49,Qwiklabs - https://www.youtube.com/channel/UCgadTofKslPYREQE8TjY7AA,https://www.youtube.com/channel/UCgadTofKslPYREQE8TjY7AA,channel
50,BigData LDN - https://www.youtube.com/channel/UCFbY6n5Ge7PJ98AtnMcD2eA ,https://www.youtube.com/channel/UCFbY6n5Ge7PJ98AtnMcD2eA,channel
51,Global AI community - https://www.youtube.com/channel/UCDVL0bPrZHwCeJrlyy-wxaQ,https://www.youtube.com/channel/UCDVL0bPrZHwCeJrlyy-wxaQ,channel
52,Lex Fridman - https://www.youtube.com/user/lexfridman,https://www.youtube.com/user/lexfridman,user
53,Knime https://www.youtube.com/user/KNIMETV/videos,https://www.youtube.com/user/KNIMETV/videos,user
54,skyl.ai https://www.youtube.com/channel/UCpXGqU-L8NmlXNZ5fKbCxzg/videos,https://www.youtube.com/channel/UCpXGqU-L8NmlXNZ5fKbCxzg/videos,channel
55,W&B - https://www.youtube.com/channel/UCBp3w4DCEC64FZr4k9ROxig/videos,https://www.youtube.com/channel/UCBp3w4DCEC64FZr4k9ROxig/videos,channel
56,Jovian.ML - https://www.youtube.com/channel/UCmKaoNn0OvxVAe7f_8sXYNQ/videos,https://www.youtube.com/channel/UCmKaoNn0OvxVAe7f_8sXYNQ/videos,channel
57,London ML Meetup - https://www.youtube.com/channel/UCpwC9QC0lWaEJ85MoMRFvrA,https://www.youtube.com/channel/UCpwC9QC0lWaEJ85MoMRFvrA,channel
58,AI Pursuit - https://www.youtube.com/channel/UCe_QLqna7cFtTCfZ0a8pycg/playlists,https://www.youtube.com/channel/UCe_QLqna7cFtTCfZ0a8pycg/playlists,channel
59,Seldon - https://www.youtube.com/channel/UCZq33lhQWAsd-8NDqOdjN_g/videos,https://www.youtube.com/channel/UCZq33lhQWAsd-8NDqOdjN_g/videos,channel
60,Yannic Kilcher - https://www.youtube.com/channel/UCZHmQk67mSJgfCCTn7xBfew/videos ,https://www.youtube.com/channel/UCZHmQk67mSJgfCCTn7xBfew/videos,channel
61,Henry AI Labs - https://www.youtube.com/channel/UCHB9VepY6kYvZjj0Bgxnpbw/videos,https://www.youtube.com/channel/UCHB9VepY6kYvZjj0Bgxnpbw/videos,channel
62,ML Street Talk - https://www.youtube.com/channel/UCMLtBahI5DMrt0NPvDSoIRQ/videos,https://www.youtube.com/channel/UCMLtBahI5DMrt0NPvDSoIRQ/videos,channel
63,ML Dojo - https://www.youtube.com/channel/UCXvHuBMbgJw67i5vrMBBobA/videos,https://www.youtube.com/channel/UCXvHuBMbgJw67i5vrMBBobA/videos,channel
64,MLOps - https://www.youtube.com/channel/UCG6qpjVnBTTT8wLGBygANOQ/videos,https://www.youtube.com/channel/UCG6qpjVnBTTT8wLGBygANOQ/videos,channel
65,Edge Intelligence - https://www.youtube.com/channel/UC7GI9yYFIwA66dLKwAxLJEg,https://www.youtube.com/channel/UC7GI9yYFIwA66dLKwAxLJEg,channel
66,DSF - https://www.youtube.com/channel/UCB02fDSj9GR4rhb1APMNclw/videos,https://www.youtube.com/channel/UCB02fDSj9GR4rhb1APMNclw/videos,channel
67,TinyML - https://www.youtube.com/channel/UC9iWqvsWjhowkHWVJquHwkg/videos,https://www.youtube.com/channel/UC9iWqvsWjhowkHWVJquHwkg/videos,channel
68,HuggingFace - https://www.youtube.com/channel/UCHlNU7kIZhRgSbhHvFoy72w/featured,https://www.youtube.com/channel/UCHlNU7kIZhRgSbhHvFoy72w/featured,channel
69,h20 - https://www.youtube.com/user/0xdata/videos,https://www.youtube.com/user/0xdata/videos,user
70,Anyscale - https://www.youtube.com/channel/UC7L1tZw52rtgmIB4fr_f40w/videos,https://www.youtube.com/channel/UC7L1tZw52rtgmIB4fr_f40w/videos,channel
71,DSF - https://www.youtube.com/channel/UCB02fDSj9GR4rhb1APMNclw/videos,https://www.youtube.com/channel/UCB02fDSj9GR4rhb1APMNclw/videos,channel
72,TwiML - podcast - https://www.youtube.com/channel/UC7kjWIK1H8tfmFlzZO-wHMw/videos,https://www.youtube.com/channel/UC7kjWIK1H8tfmFlzZO-wHMw/videos,channel
73,Chai Time DS Podcast  - https://www.youtube.com/channel/UCRjtBP-o5FbgRzX2BHQEFtQ/videos,https://www.youtube.com/channel/UCRjtBP-o5FbgRzX2BHQEFtQ/videos,channel
74,Abhishek Thakur - https://www.youtube.com/user/abhisheksvnit/videos,https://www.youtube.com/user/abhisheksvnit/videos,user
75,KonfHub Tech - https://www.youtube.com/channel/UCN45i8avHdOVqVVJMalx9tQ/videos,https://www.youtube.com/channel/UCN45i8avHdOVqVVJMalx9tQ/videos,channel
76,Freecodecamp - https://www.youtube.com/channel/UC8butISFwT-Wl7EV0hUK0BQ/videos,https://www.youtube.com/channel/UC8butISFwT-Wl7EV0hUK0BQ/videos,channel
77,VIT GDG - https://www.youtube.com/channel/UCvT-ZJF7fXHJi9kDeCPR-zg/videos,https://www.youtube.com/channel/UCvT-ZJF7fXHJi9kDeCPR-zg/videos,channel
78,Usha Rengaraju/GDG Mysore - https://www.youtube.com/channel/UChr1xW6wSq4sxUgAlgv9PZQ/videos,https://www.youtube.com/channel/UChr1xW6wSq4sxUgAlgv9PZQ/videos,channel
79,AI for Anyone - https://www.youtube.com/channel/UCIpPdErVmb3sfCT6S8U3BwA/videos,https://www.youtube.com/channel/UCIpPdErVmb3sfCT6S8U3BwA/videos,channel
80,Yves Hilpisch (Python Quants) - https://www.youtube.com/channel/UCSwSD4MeOxb-29ezJi39Xgw/videos ,https://www.youtube.com/channel/UCSwSD4MeOxb-29ezJi39Xgw/videos,channel
81,2d3d.ai - https://www.youtube.com/channel/UCHObHaxTXKFyI_EI8HiQ5xw/videos,https://www.youtube.com/channel/UCHObHaxTXKFyI_EI8HiQ5xw/videos,channel
82,2 minute papers - https://www.youtube.com/user/keeroyz/videos,https://www.youtube.com/user/keeroyz/videos,user
83,Wildlabs - https://www.youtube.com/channel/UCrxw8iiyFalKHFNAhZYCAYA/videos,https://www.youtube.com/channel/UCrxw8iiyFalKHFNAhZYCAYA/videos,channel
84,Bhavesh Bhatt - https://www.youtube.com/channel/UC8ofcOdHNINiPrBA9D59Vaw/videos,https://www.youtube.com/channel/UC8ofcOdHNINiPrBA9D59Vaw/videos,channel
85,Bhavesh Bhatt - https://www.youtube.com/channel/UCo_uTt4go2qs8xOJaUgsiiw/videos,https://www.youtube.com/channel/UCo_uTt4go2qs8xOJaUgsiiw/videos,channel
86,MLT https://www.youtube.com/channel/UC88RC_4egFjV9jfjBHwDuvg/videos,https://www.youtube.com/channel/UC88RC_4egFjV9jfjBHwDuvg/videos,channel
87,Full Stack Deep Learning - https://www.youtube.com/channel/UCVchfoB65aVtQiDITbGq2LQ/videos,https://www.youtube.com/channel/UCVchfoB65aVtQiDITbGq2LQ/videos,channel
88,What is AI - https://www.youtube.com/channel/UCUzGQrN-lyyc0BWTYoJM_Sg/videos,https://www.youtube.com/channel/UCUzGQrN-lyyc0BWTYoJM_Sg/videos,channel
89,Colearning Lounge - https://www.youtube.com/c/ColearningLounge/videos,https://www.youtube.com/c/ColearningLounge/videos,custom
90,Zachary Mueller - https://www.youtube.com/channel/UCmKoQOD8uBqsRS8XDdSgrlQ/videos,https://www.youtube.com/channel/UCmKoQOD8uBqsRS8XDdSgrlQ/videos,channel
91,Deeplizard - https://www.youtube.com/c/deeplizard/videos,https://www.youtube.com/c/deeplizard/videos,custom
92,London Machine Learning Meetup - https://www.youtube.com/channel/UCpwC9QC0lWaEJ85MoMRFvrA/videos,https://www.youtube.com/channel/UCpwC9QC0lWaEJ85MoMRFvrA/videos,channel
93,Deepmind - https://www.youtube.com/channel/UCP7jMXSY2xbc3KCAE0MHQ-A/videos,https://www.youtube.com/channel/UCP7jMXSY2xbc3KCAE0MHQ-A/videos,channel
94,Noah conference - https://www.youtube.com/user/NoahAdvisors/videos,https://www.youtube.com/user/NoahAdvisors/videos,user
95,Deeplearning.ai - https://www.youtube.com/channel/UCcIXc5mJsHVYTZR1maL5l9w/videos,https://www.youtube.com/channel/UCcIXc5mJsHVYTZR1maL5l9w/videos,channel
96,PyTorch - https://www.youtube.com/channel/UCWXI5YeOsh03QvJ59PMaXFw/videos,https://www.youtube.com/channel/UCWXI5YeOsh03QvJ59PMaXFw/videos,channel
97,Tensorflow - https://www.youtube.com/channel/UC0rqucBdTuFTjJiefW5t-IQ/videos,https://www.youtube.com/channel/UC0rqucBdTuFTjJiefW5t-IQ/videos,channel
98,AlwaysAI - https://www.youtube.com/channel/UCtOaFDjfZQ_Gqa_MogHDuow/videos,https://www.youtube.com/channel/UCtOaFDjfZQ_Gqa_MogHDuow/videos,channel
99,ECCV - https://www.youtube.com/channel/UCKfreQYtL6GZSj9Zq5FRQGA/videos,https://www.youtube.com/channel/UCKfreQYtL6GZSj9Zq5FRQGA/videos,channel
100,AI Pursuit - https://www.youtube.com/c/AIPursuit/videos,https://www.youtube.com/c/AIPursuit/videos,custom
101,MBN Solutions - https://www.youtube.com/channel/UC8LpQpJIT39DLDJ9VR0yixg/videos,https://www.youtube.com/channel/UC8LpQpJIT39DLDJ9VR0yixg/videos,channel
102,Pascal Poupart - https://www.youtube.com/channel/UC7ZVvEo7-B7lA6LY2MVX72A/videos,https://www.youtube.com/channel/UC7ZVvEo7-B7lA6LY2MVX72A/videos,channel
103,RegEx Software - https://www.youtube.com/channel/UCPAgsO-_xsTBslxMBvS5iAQ/videos,https://www.youtube.com/channel/UCPAgsO-_xsTBslxMBvS5iAQ/videos,channel
104,Great Learning - https://www.youtube.com/user/beaconelearning/videos,https://www.youtube.com/user/beaconelearning/videos,user
105,Rasa - https://www.youtube.com/channel/UCJ0V6493mLvqdiVwOKWBODQ/videos,https://www.youtube.com/channel/UCJ0V6493mLvqdiVwOKWBODQ/videos,channel
106,StatQuest - https://www.youtube.com/c/joshstarmer/videos,https://www.youtube.com/c/joshstarmer/videos,custom
107,nplan/ml paper club - https://www.youtube.com/channel/UCyRXlm2atZrHv9GtKM3kzbQ/videos,https://www.youtube.com/channel/UCyRXlm2atZrHv9GtKM3kzbQ/videos,channel
108,3blue1brown - https://www.youtube.com/c/3blue1brown/videos,https://www.youtube.com/c/3blue1brown/videos,custom
109,Full Stack Deep Learning - https://www.youtube.com/c/FullStackDeepLearning/playlists,https://www.youtube.com/c/FullStackDeepLearning/playlists,custom
110,Twiml community - https://www.youtube.com/channel/UCWtY0NYpa3hXbJprpt1qLbQ/videos,https://www.youtube.com/channel/UCWtY0NYpa3hXbJprpt1qLbQ/videos,channel
111,CrazyMuse - https://www.youtube.com/c/Crazymuse/videos,https://www.youtube.com/c/Crazymuse/videos,custom
112,Andreas Mueller - https://www.youtube.com/c/AndreasMueller/videos ,https://www.youtube.com/c/AndreasMueller/videos,custom
113,ODSC - https://www.youtube.com/c/OpenDataScienceCon/videos,https://www.youtube.com/c/OpenDataScienceCon/videos,custom
114,VentureBeat - https://www.youtube.com/c/VentureBeat/videos,https://www.youtube.com/c/VentureBeat/videos,custom
115,Kris Naik - https://www.youtube.com/user/krishnaik06/videos,https://www.youtube.com/user/krishnaik06/videos,user
116,iNeuron Intelligence - https://www.youtube.com/channel/UCb1GdqUqArXMQ3RS86lqqOw/videos,https://www.youtube.com/channel/UCb1GdqUqArXMQ3RS86lqqOw/videos,channel
117,Venelin Valkov - https://www.youtube.com/user/VulkovVenelin/videos,https://www.youtube.com/user/VulkovVenelin/videos,user
118,Daniel Bourke - https://www.youtube.com/channel/UCr8O8l5cCX85Oem1d18EezQ/videos,https://www.youtube.com/channel/UCr8O8l5cCX85Oem1d18EezQ/videos,channel
119,The AI Guy - https://www.youtube.com/channel/UCrydcKaojc44XnuXrfhlV8Q/videos,https://www.youtube.com/channel/UCrydcKaojc44XnuXrfhlV8Q/videos,channel
120,Amii Intelligence - https://www.youtube.com/channel/UCxxisInVr7upxv1yUhSgdBA/videos,https://www.youtube.com/channel/UCxxisInVr7upxv1yUhSgdBA/videos,channel
121,MLSS Moscow 2019 - https://www.youtube.com/channel/UCrZIqL5pqD91LgHsk0LAb5Q/playlists,https://www.youtube.com/channel/UCrZIqL5pqD91LgHsk0LAb5Q/playlists,channel
122,MLSS Germany 2020 - https://www.youtube.com/channel/UCBOgpkDhQuYeVVjuzS5Wtxw/videos,https://www.youtube.com/channel/UCBOgpkDhQuYeVVjuzS5Wtxw/videos,channel
123,ML Learning with Phil - https://www.youtube.com/c/MachineLearningwithPhil/videos,https://www.youtube.com/c/MachineLearningwithPhil/videos,custom
124,WiDS Mumbai - https://www.youtube.com/channel/UCHGAwygtFWAonSYfjeUv0iA/videos,https://www.youtube.com/channel/UCHGAwygtFWAonSYfjeUv0iA/videos,channel
125,Julia - https://www.youtube.com/c/TheJuliaLanguage/videos,https://www.youtube.com/c/TheJuliaLanguage/videos,custom
126,Digital Cat - https://www.youtube.com/channel/UCJ70w0WzWjWerpk3utRcAKA/videos,https://www.youtube.com/channel/UCJ70w0WzWjWerpk3utRcAKA/videos,channel
127,Danny Ma - https://www.youtube.com/c/DannyMa/videos,https://www.youtube.com/c/DannyMa/videos,custom
129,Brandon Roher - https://www.youtube.com/c/BrandonRohrer/videos,https://www.youtube.com/c/BrandonRohrer/videos,custom
131,Amazon MLU - https://www.youtube.com/channel/UC12LqyqTQYbXatYS9AA7Nuw/playlists,https://www.youtube.com/channel/UC12LqyqTQYbXatYS9AA7Nuw/playlists,channel
132,Smiles ML Summer School Russia- https://www.youtube.com/c/SMILESSummerSchoolofMachineLearningatSK/videos,https://www.youtube.com/c/SMILESSummerSchoolofMachineLearningatSK/videos,custom
133,Jeremy Howard - https://www.youtube.com/user/howardjeremyp/videos,https://www.youtube.com/user/howardjeremyp/videos,user
134,Elvis Saravia - https://www.youtube.com/c/OmarSar27/videos,https://www.youtube.com/c/OmarSar27/videos,custom
135,AMLD - https://www.youtube.com/c/AppliedMachineLearningDays/vidoes ,https://www.youtube.com/c/AppliedMachineLearningDays/vidoes,custom
136,NLP with Friends - https://www.youtube.com/channel/UCspapbPlDQn1Tc7Pym2KMTw,https://www.youtube.com/channel/UCspapbPlDQn1Tc7Pym2KMTw,channel
137,ReinforceConf - https://www.youtube.com/channel/UC2FX7UmiCtIOpWVT7156Gag,https://www.youtube.com/channel/UC2FX7UmiCtIOpWVT7156Gag,channel
138,ML TV - https://www.youtube.com/c/MachineLearningTV/videos,https://www.youtube.com/c/MachineLearningTV/videos,custom
139,bycloud - https://www.youtube.com/c/bycloudAI/videos,https://www.youtube.com/c/bycloudAI/videos,custom
140,Sebastian Raschka - https://www.youtube.com/c/SebastianRaschka,https://www.youtube.com/c/SebastianRaschka,custom
141,Rework - https://www.youtube.com/c/Re-workCo/videos,https://www.youtube.com/c/Re-workCo/videos,custom
142,TVAIHub - https://www.youtube.com/channel/UCVlPeQjsKct9bXoC1Qlp1qA/videos ,https://www.youtube.com/channel/UCVlPeQjsKct9bXoC1Qlp1qA/videos,channel
144,Ritvik - https://www.youtube.com/c/ritvikmath,https://www.youtube.com/c/ritvikmath,custom
145,OpenMinded - https://www.youtube.com/c/OpenMinedOrg/videos ,https://www.youtube.com/c/OpenMinedOrg/videos,custom
146,GeeksLesson - https://www.youtube.com/c/GeeksLesson/videos ,https://www.youtube.com/c/GeeksLesson/videos,custom
147,AI Tech North - https://www.youtube.com/channel/UCDMsGkE4ejeakMo7QtJD7Tw/videos,https://www.youtube.com/channel/UCDMsGkE4ejeakMo7QtJD7Tw/videos,channel
148,Databricks - https://www.youtube.com/c/Databricks/videos      https://vimeo.com/databricks,https://www.youtube.com/c/Databricks/videos,custom
